,Mistral Prompt 1,Qwen Prompt 1,Falcon Prompt 1,Mistral Prompt 2,Qwen Prompt 2,Falcon Prompt 2,Mistral Prompt 3,Qwen Prompt 3,Falcon Prompt 3,Finetuned Model
omission,30.0,39.0,45.0,56.0,30.0,28.0,25.0,39.0,45.0,0.0
internalInconsistency,24.0,29.0,25.0,26.0,31.0,17.0,25.0,29.0,25.0,8.0
extraneousStatement,10.0,21.0,17.0,10.0,37.0,26.0,1.0,21.0,17.0,0.0
transcriptionError,39.0,3.0,34.0,16.0,26.0,36.0,45.0,3.0,34.0,18.0
avg_BERT_precision,0.7120565703281989,0.7325621705788833,0.704218369263869,0.7141260229624234,0.7074236778112558,0.7058688654349401,0.7254656576193296,0.7325621705788833,0.704218369263869,0.796988879258816
avg_BERT_recall,0.8003342357965616,0.8001139026421767,0.7908355410282428,0.7825098748390491,0.7985259317434751,0.7865906816262466,0.7855023925121014,0.8001139026421767,0.7908355410282428,0.7531317518307612
avg_BERT_f1,0.7531461257200974,0.7641525451953595,0.7445060473221999,0.7464749767230108,0.7496713835459489,0.7436488752181714,0.7537048298578995,0.7641525451953595,0.7445060473221999,0.7738510920451238
