,Mistral Prompt 1,Qwen Prompt 1,Falcon Prompt 1,Mistral Prompt 2,Qwen Prompt 2,Falcon Prompt 2,Mistral Prompt 3,Qwen Prompt 3,Falcon Prompt 3,Finetuned Mistral
TP,19.0,23.0,19.0,16.0,35.0,23.0,25.0,23.0,19.0,6.0
FN,53.0,49.0,53.0,56.0,37.0,49.0,47.0,49.0,53.0,66.0
Total Errors,103.0,92.0,121.0,108.0,124.0,107.0,96.0,92.0,121.0,26.0
FP,84.0,69.0,102.0,92.0,89.0,84.0,71.0,69.0,102.0,20.0
Recall,0.2638888888888889,0.3194444444444444,0.2638888888888889,0.2222222222222222,0.4861111111111111,0.3194444444444444,0.3472222222222222,0.3194444444444444,0.2638888888888889,0.08333333333333333
